case_id,name,body_chars,human_language,used_translation,security_relevance,security_focus,operational_security,operation_level,security_functions,security_concerns,operational_capability,evidence,confidence,rule_applied,grc_case,secondary_mention_boundary,annotation_seconds,difficulty,note
P001,podcast-script-writer,7781,tr,true,NONE,false,false,,,,,,,,,,,,
P002,fire-smoke-detection-analysis,5109,,,,,,,,,,,,,,,,,
P003,,944,,,,,,,,,,,,,,,,,
P004,focused-fix,13767,,,,,,,,,,,,,,,,,
P005,android-arch-generator,2463,,,,,,,,,,,,,,,,,
P006,network-payload-zero-knowledge-test,11822,,,,,,,,,,,,,,,,,
P007,bam-query,10873,,,,,,,,,,,,,,,,,
P008,threejs-shaders,15616,,,,,,,,,,,,,,,,,
P009,xitter,5561,,,,,,,,,,,,,,,,,
P010,iaiso-deploy-consent-issuance,2447,,,,,,,,,,,,,,,,,
P011,springboot-verification,6016,,,,,,,,,,,,,,,,,
P012,agentic-secrets-handling,1588,,,,,,,,,,,,,,,,,
P013,crypto-architecture-review,7352,,,,,,,,,,,,,,,,,
P014,gemini-review,24263,,,,,,,,,,,,,,,,,
P015,keep-changelog,6986,,,,,,,,,,,,,,,,,
P016,股权结构穿透分析-equity-structure-qcc,3505,,,,,,,,,,,,,,,,,
P017,BE Migration,3478,,,,,,,,,,,,,,,,,
P018,review,78810,,,,,,,,,,,,,,,,,
P019,add-app-clip,681,,,,,,,,,,,,,,,,,
P020,security-fundamentals,39,,,,,,,,,,,,,,,,,
P021,obsidian-incident-runbook,12139,,,,,,,,,,,,,,,,,
P022,analyzing-ransomware-leak-site-intelligence,12970,,,,,,,,,,,,,,,,,
P023,architecture,9535,,,,,,,,,,,,,,,,,
P024,configure-cicd-pipeline,5386,,,,,,,,,,,,,,,,,
P025,security-alert,6370,,,,,,,,,,,,,,,,,
P026,arabic-john-the-ripper,937,,,,,,,,,,,,,,,,,
P027,configure-ingress-networking,12168,,,,,,,,,,,,,,,,,
P028,exploiting-deeplink-vulnerabilities,4247,,,,,,,,,,,,,,,,,
P029,requesting-code-review,10620,,,,,,,,,,,,,,,,,
P030,,27861,,,,,,,,,,,,,,,,,
P031,00-andruia-consultant,2840,,,,,,,,,,,,,,,,,
P032,vscode-copilot,2460,,,,,,,,,,,,,,,,,
P033,source-command-backend-specialist,4929,,,,,,,,,,,,,,,,,
P034,u05086-disaster-recovery-orchestration-for-education-support-services,3020,,,,,,,,,,,,,,,,,
P035,review,211,,,,,,,,,,,,,,,,,
P036,review,6208,,,,,,,,,,,,,,,,,
P037,rag,8515,,,,,,,,,,,,,,,,,
P038,monarch-money,4229,,,,,,,,,,,,,,,,,
P039,apify-reference-architecture,10471,,,,,,,,,,,,,,,,,
P040,analyzing-supply-chain-malware-artifacts,5381,,,,,,,,,,,,,,,,,
P041,,3187,,,,,,,,,,,,,,,,,
P042,purify-water,9464,,,,,,,,,,,,,,,,,
P043,,3520,,,,,,,,,,,,,,,,,
P044,azure-mgmt-fabric-dotnet,11227,,,,,,,,,,,,,,,,,
P045,security-access-control-reviewer,1315,,,,,,,,,,,,,,,,,
P046,devops,1,,,,,,,,,,,,,,,,,
P047,ptrade,39897,,,,,,,,,,,,,,,,,
P048,java-pro,9413,,,,,,,,,,,,,,,,,
P049,Rails Cybersecurity,17258,,,,,,,,,,,,,,,,,
P050,epistemic-arbitrage,6440,,,,,,,,,,,,,,,,,
