case_id,file_sha,repo_full_name,path,license,stars
LLM019,a6d95f211f9307e10848664b636e6017dabd442d,tools-only/X-Skills,content-creation/2702-hn-2-seedance_7c0a4732/skill.md,NAO DECLARADA,7
LLM021,473b7b775c84ef4e913d2f394ae576c52379bc6c,binhngoc17/data-pipeline-test,.claude/skills/sl-issue-tracking/skill.md,NAO DECLARADA,0
LLM029,2732f50ca23f736fe91ec0e09a6d904b720435ef,biggerhat/biggerhat_v3,.claude/skills/verify-changes/SKILL.md,NAO DECLARADA,0
LLM035,cf6ec33ddf03b6bd1c38e032a91921ce8d6ad1ef,wesbragagt/nixos-config,home/claude/config/skills/excalidraw/SKILL.md,NAO DECLARADA,1
LLM036,0f93244857bf9fecd8c0e660ba3f11fc9c1f3767,0xMiden/agent-tools,skills/felt-construction/SKILL.md,NAO DECLARADA,1
LLM041,891181320cc619c466e22e7012d711d58e9461a4,norvik-intelligence/Norvik,.agents/skills/dialogue-audio/SKILL.md,NAO DECLARADA,0
LLM045,bb5f19400bfa250e59c04a84f20c3c15a8949e1c,hugocantor/fedway_work_cursor_skills,skills/fmprod-fmdel-crosswalk/SKILL.md,NAO DECLARADA,0
LLM052,da2e8edea5a4031f4bd3cac68603f72ec8b27aa7,zwright8/OpenClaw-Code,skills/generated/9266-mentoring-and-coaching-design-for-sales-and-client-success/SKILL.md,NAO DECLARADA,0
LLM067,51554c7067a59f5cd39d11debd312a2f9c96d77c,tools-only/X-Skills,development/2483-feature-context-plugin-linter_0c4d0710/skill.md,NAO DECLARADA,7
LLM071,b54524ba689efcd9a0565f1a965b626f82b5ce3f,SumithSB/job-assistant,.agents/skills/mcp-builder/SKILL.md,NAO DECLARADA,0
LLM083,df73e855e36b2d53e75a756850cc77030928dd08,bjw202/gear-a-to-z,.claude/skills/moai-domain-database/SKILL.md,NAO DECLARADA,0
LLM085,fe62a8d139e269b2051f09abd142d79451b69645,mattwoodco/skills,skills/docker/SKILL.md,MIT,3
LLM089,640a7fb381204410878dbae1881fe377361864a9,lxb031018/qintu,.codebuddy/skills/cloud-functions/SKILL.md,NAO DECLARADA,2
LLM091,97efb24b695abf9378bf48c18324cbf97dcf988a,byoffe/sunwell,.claude/skills/deploy/SKILL.md,NAO DECLARADA,0
LLM095,2bbc4728cab911fc7c49f7a03c3397baaca51246,modbender/skill-library-mcp,data/quiver/SKILL.md,MIT,12
LLM096,758166585f7b832e14bd2bc6c66c70c92df7eced,HHHHHejia/awesome-legal-aiagent-skills,intellectual-property/draft-vendor-onboarding-questionnaire/SKILL.md,NAO DECLARADA,22
