case_id,file_sha,security_relevance,is_security_skill,frame_exclusion,label_origin,in_analysis_frame,exclusion_reason
LLM001,ba2f97a706ffdef412137fbe7a108c09b3d2db97,SECONDARY,true,,llm_consensus,true,
LLM002,3382e8d55b6627021088e13db0ade57d8321355c,NONE,false,,llm_consensus,true,
LLM003,3fd89c3254068d2873e4e437d7805282c0f24704,SECONDARY,true,,llm_consensus,true,
LLM004,341fb32d8d475abde39f7f1c29c0110a379070bd,NONE,false,,llm_consensus,true,
LLM005,11f384daf64b6765959b865ae1c6a3b2557d51eb,SECONDARY,true,,llm_consensus,true,
LLM006,24292982301142b90fbae4ba450191a8c36e4d01,NONE,false,,llm_consensus,true,
LLM007,c6014c63b6b44b2e46bf919960e74a510faf90eb,SECONDARY,true,,llm_consensus,true,
LLM008,0a6450c4851a32f99f162b178f17a35161418a5f,PRIMARY,true,,llm_consensus,true,
LLM009,236fa0787871a9dac1267fdf7641d53f0f221ed2,SECONDARY,true,,llm_consensus,true,
LLM010,b02c54fa1d003c8b31432acbf3c25a48d43eb76c,NONE,false,,llm_consensus,true,
LLM011,ce17f0136f3e64ad82cfe790cb615ceb255834cc,SECONDARY,true,,llm_consensus,true,
LLM012,f68a2fdb19000defa70040b4d84363b3c994422d,SECONDARY,true,,llm_consensus,true,
LLM013,08974e77dab8b96a777b6f0fccb69b898ea9449f,NONE,false,,llm_consensus,true,
LLM014,cb4ba334196d7321cfe4b7eeda549d08f5eba256,SECONDARY,true,,llm_consensus,true,
LLM015,140f277cf9d5f812fb91b2b8be4b7f49296639e6,NONE,false,,llm_consensus,true,
LLM016,8dbfae44cbde0a59ba938293dd3885be513bf576,NONE,false,,llm_consensus,true,
LLM017,8f6af1e4b578f64d0871847eee61390cf4eaf8cd,SECONDARY,true,,llm_consensus,true,
LLM018,907894289b6c94617867834534bae3fbdc591bf3,SECONDARY,true,,llm_consensus,true,
LLM019,a6d95f211f9307e10848664b636e6017dabd442d,NONE,false,not_an_instruction_artifact,human_agreement,true,
LLM020,f2b4b18174ad898dbab3957222175fa807bd7603,SECONDARY,true,,llm_consensus,true,
LLM021,473b7b775c84ef4e913d2f394ae576c52379bc6c,NONE,false,,human_agreement,true,
