case_id,file_sha,name,body_chars
LLM001,63e6af25f70e87be598ee94002fb21fc75059086,implementation-gap-analysis,1594
LLM002,6327b89a3abd8abdde633df56a8576b05cb5d89f,detecting-fileless-attacks-on-endpoints,7045
LLM003,3b254c241db0ed34d7f8b2d3fdc28ef77042aa11,starrocks-query-optimization,9391
LLM004,f4811bdf65db896ad1e59147668a32b9e9a8f67a,asc,4235
LLM005,1eaf3c5dd8cadcb938073f13f0b867ed4ff2194e,eval,2471
LLM006,71494bca1ed53ebe094d96d53d067face7fba0e5,solid-knowledge,9527
LLM007,80b4ae8484612e2d5e262acff6cbba8f90bfa1c4,peak-annotation-refinement-structure-driven,9307
LLM008,b78e7f8dc1cdc34e84a652383dd74ce102458dee,,3268
LLM009,e88cd7c186a431f40fefe76a1e89dbb8c2c40b39,task-coordination,5613
LLM010,142fb927f389493a14b4961ee9673077834dbdec,k8s-dev-deploy,4965
LLM011,96d4dca0141016209756268f15bc0addcaa05ea2,sddl-init,11649
LLM012,67b0c8e20d688d94c1b92c0ecc3276c2bbbeab9b,kpi-benchmark-engine,3887
LLM013,89573b23cd839fe8bb511612e7ffbe3073db73a9,frontend-slides,12638
LLM014,ae27774580fa23c449b6d6f007ad261d55305473,modify-sysarch,3450
LLM015,73a236297a304acb35089f7955e0df227f1abbda,prosper-tradeoff,2630
LLM016,2e801cfba8f720fea6109b34270a388ebf10bacc,youtube-vid-research,8266
LLM017,228bb080ae56dc0ecaff9c91827ad2266b052820,gsd-resume-work,2052
LLM018,d6e4932d32cb5d32db7a2ca0c75acb417a888b3b,usi-namespace-parsing,8428
LLM019,8fcf07c0e06affa84001bedebabe0336d5d93aec,,2774
LLM020,1f3ebe90b7566ad590ca678fba5ac1037fd49800,sdd,16751
LLM021,3930e729200583edb3d0894b7673efaed1e8117a,senior-backend,15080
LLM022,3b49ee451a8a9649d883a33eb76f9512c7cb1ae8,receiving-code-review,6267
LLM023,5b104dde2160008153f70073b96ebf32234074d5,flame-harness-retro,13506
LLM024,6d507a3066568acd700aefa7486d214b646f9d84,Popups,13757
LLM025,f955fb5060e552d3570e5a34bd3b0059cefddeab,ai-crawler-readiness,3908
LLM026,ff9f78eda13a536bc2c732ca4a086c09df77c869,twitter-post,3154
LLM027,5e69d5ab00640262432c779757351abceccbc5c5,crypto-alpha-scanner,2120
LLM028,efcc4883179d9d9a62bd054d6f0a8ac92913bb89,cockpit-exec-agent,2620
LLM029,2e45e3ecebd843b600ee4b4c9ea2640464b0cbc0,accessibility-audit,6116
LLM030,923e19da61b0c6b15d8400e400c79ad32d5829bc,,3288
LLM031,e937e36537ada204d5152a4bb094eff06802583e,,2272
LLM032,4776fcca21f479b81f2b454e9355fe23b6432fc3,standardize-geo-values,9202
LLM033,3d28f3506c130cd8f31eafa998a55c6eeba59f33,cis-gworkspace-6.3,3091
LLM034,67442bdd87f22f733b47286fd8c655868c125453,vc:update,8493
LLM035,50dc950dcd09b674e02c1a7a5435ad2094c99535,formalize,1479
LLM036,3e33e1bd0d107e0a9c7c5aa853767021341d84b0,expression-language-injection,8325
LLM037,11f695d23cfbbf44ab65a02f1ed28c3496c61034,ray-train,10681
LLM038,b8ea2328206f56f342b2ff9e15de523be62ce198,clanker-plugin,25745
LLM039,83761081d370f48fc39a34ce3741b004ee8d1922,basecamp-automation,12485
LLM040,831edebd58cce7516f0ba2fad68f79d3adcd63c1,idlergear,2231
LLM041,cfcadf0f0f2b12eb10815207beb3f1bc3c588c80,local-seo-client-onboarding,6450
LLM042,3805b8e8662340d4c73964fa66b47d7f43a6d211,clone_detection_direct,1557
LLM043,0df94c8b997bb2bb7810b5106fd067900c94f857,index,733
LLM044,78800fa3d320dfe43a1c8025d7bab240ce31357d,,22595
LLM045,2ee0b4b4ddeb27aa994afd2952c3841078190c52,voice-and-tone,2725
LLM046,066d6308a7a90072c3709880c9cdc8adfb6d69fe,seo,11396
LLM047,e6cccde95f8f4ae310c42175607b3cfa862fb867,copilotd-e2e-verification,8016
LLM048,2f0b165853c5d042fe1c3d1ffec8c07ad3bed336,,9675
LLM049,74d8aab88b799971ca4b18cef4af651b0ce95d03,aeo-optimization,14687
LLM050,8846ab1e57a40c8ce2f5d4edd225954daa372340,e2e-observability,3942
LLM051,51c64152c1ec1ee611d4ae056192d60f569eaa21,review-code,1249
LLM052,fb1dc0a35ef2c5e777abf645ee95886cde6d7289,nushell-alias-lt-eza,1665
LLM053,22e2c7d51634412b27629c0f95d2adc6cb09e988,task-decomposition,1932
LLM054,94717149ac2e087e3559e7a832cb5163be078138,blueprint-loop,447
LLM055,1d16a9c12309f12b53370f8b5fea900ffedab62d,continuous-refactoring,947
LLM056,76e6b1764da1d7352dd3d6056571751f4395c746,azure-kusto,8593
LLM057,b137c7e7160807d52880e1e199f744fd36befc87,exploiting-template-injection-vulnerabilities,12323
LLM058,7a888f6b482f2e5a2ead905e3e3900053c40d91f,together-sdk-patterns,5107
LLM059,2d66cee42b8f47fd055b60f782d0deecfb396f80,firestore-queries-pipelines,5325
LLM060,0d107d8b1dc5eb9e4515c76c4cc850e8e080e657,task-trigger,1115
LLM061,0c4c055cd617a2f0520a07a3c4e9338f9ef61494,confidence,3254
LLM062,6045a82d1c8c89e1875eda75c8d0fea153b27159,vance-lsp-cartographer,6570
LLM063,e9cf181599f995e2f9406d2cab02e1eda7b18a9a,Browser Testing,1548
LLM064,f6f21a20ea8bfbd0b0ea764a1592e3a661dad9ed,stream-inspector,2572
LLM065,bcc18696f66fffdc404c3f6f60dc0bcac5b18fd0,hyperframes,27959
LLM066,5e0e270d7ecf503b8e5f90427dc43cf0180dc2a7,photography-studio,6442
LLM067,97ba824389e4a356e76c1d25a7a0e431ac05a2cf,maintaining-arch-strix-halo-packages,5114
LLM068,b4152fd5d37637793943588eb8e63c7eda8d21ff,,7025
LLM069,6917d5748cc9c9a1d05a071691159864453ae359,structured-thinking-orchestrator,4040
LLM070,6c8b5b0485503409af372348b0042be1cef384db,tokio-async-code-review,5203
LLM071,e4a4f112825b51cf0e266e3995062e74137a691f,Generate Solutions,1330
LLM072,a73dc3bdc00fc404a12132a51d2e724d02bb2471,,9771
LLM073,09db140d644cc37805c03435f92335421b383a41,,3174
LLM074,8bf97252c091dd74cc768dad4dfc4f4a9c224aad,test-repair,685
LLM075,d5565e266229c902da17f2af4c448a5fb2dbfd5f,u09332-mentoring-and-coaching-design-for-research-and-development-labs,3343
LLM076,8bbd1898c37fe95b647299e7e2037ef047382f03,methods,14084
LLM077,fd9b065115c22fe813e7a6b86114d0492495fdd2,axiom-swiftui-debugging-diag,24043
LLM078,88b57cb3ef3e71206ad386179551997760e24d67,ts-schema-implementation,9548
LLM079,4e4ee9ba3996989fe578406f1410c0da72fbf6b8,runbook,8822
LLM080,11a775c1e5d54ee6593a6ec2aaca7ca70ac64473,ptah:status,1990
LLM081,a23b4aa4225bf9d02fb99297a35daf61f69a9b17,composio-canva,13503
LLM082,cc2d77061805c7e8809e0d7ec04501b6103747c5,taosmd-a2a,1145
LLM083,b1914d8a5104363adca9cd310b2b6a39e574fca6,,3210
LLM084,69b968f4f2f1452b41e4d61ff6a54122b6b7963c,storyboard-creation,10064
LLM085,3ca2a47b0e24ddbfdc6ce4803efb1693a1dac38d,normanai-person-angle-research,960
LLM086,5ff6ce5f456868a4566a82383fb0f0dbf90e6f7b,android-dev,17176
LLM087,1f48f26f5b6256352cef248c5c1a93dc10eb577b,paper-to-skill,23856
LLM088,d722e063b3ee4b6cedc6a315c133fb3aef910a96,hotfix,921
LLM089,e1b4a9b57c00d92eab33273cb3236c42ab724dff,,1445
LLM090,cb87f9596498ad49f8a2bc2f5017a0d892aac435,sell-stuff,12965
LLM091,0c29823371d1644946aba80b6c350a11dd2aae4f,pr-daily,247
LLM092,bc791d57803962f290b9b61c3fcb08cf74ec4935,openspec-onboard,14720
LLM093,9d19596ebea5ab56022c899cfa2192f736f08fa4,iso13485-audit-prep,6660
LLM094,dd31735f66847b4cd16879debe4f2e41c914ad2c,,12423
LLM095,8d514ebd4624e85f267f3abba5551ed720767096,,17265
LLM096,b151100d9f387155b794f1dd7ecf910bcab473d4,research-pdf,12509
LLM097,24ba541b328467396a63944a36dcb16fa2fbd951,converter,9822
LLM098,c8a449188d20684d2692bebbd18e2abba02c0650,the-standard-csharp-files,2134
LLM099,10bda98c9ecb523411b5f10c39ca04427c3e94f1,plan-feature,3321
LLM100,fef4eda869384df28fcdea6694218b8c53b8b74d,agent-rehearsal-runner,18361
