case_id,file_sha,name,body_chars
CASE001,02cce130ab1f07120072f8f0b42d1da166895f76,pr-version-bump,9524
CASE002,12862c5bc1dda084d0dd83b2be16185b1cf03baa,,2868
CASE003,ff1f44a9dd4cc264400e31ed29b2c69fa77810e4,blog-post-translate,5793
CASE004,080d27d264a68860b3ea1c0f7d8ecafe508aa889,agents-v2-py,9875
CASE005,ef0ab4580acd04d91a0058c9498b207fd5267e23,molclaw-evobind-tool,3954
CASE006,1d7ba102197cc971d30967e3f96fc8d3667e8c04,devexpress-winforms-layout,17799
CASE007,c773c4cee8bc13810581444ea09935ba5ad02571,claude-mem-export-and-maintenance,2535
CASE008,352b61ebe0ca7d1ad755e05d4e7c6a79385a4df1,,3331
CASE009,2c577bd032b20799ebb16a275ed619e4cf4057ae,get-project-configuration,7564
CASE010,2dd2d060967b81e6a8553b7716deb54ade86e7af,implement,5875
CASE011,cdfebb8fa3c0b0be30faae13a3d4a1cc05456046,review-pr,4058
CASE012,69ace34e482605a02749dd6476badd772561b0d8,medication-reconciliation,6452
CASE013,19ec0b9bdf7e444d5ebe846152e3e7bdd8f790a8,component-testing,1841
CASE014,1b58fa1a6d9d2a78fe7119601d5618dc14891777,session-triage,11730
CASE015,c00acf1c646bc1aa55eee0317e58a8e40c91b5bf,eng-tdd,2664
CASE016,66352c341f8b164b3537ff8dc044d2c28e7527e1,,3010
CASE017,136b2a6afad21aa71be645f35f5cb0b9dabcd04b,churn-prevention,21826
CASE018,89202f98720ad642d09855ba6bb6b93a37440485,error-rosetta,12564
CASE019,d110b52b7937410b82beab42aefdda0384ecabde,,3891
CASE020,76e1cff21ed70a87491a2b0d3df187c367165a0e,human-centered-design-fundamentals,14783
CASE021,dde5e561c78b314c0ac54efdf52713f47f2782aa,,15846
CASE022,87b73b5d288b800b36971a0022b724948563bef6,pr-plan,60811
CASE023,8120238422eaa91d5f747a195bfdb2d53c6b11b9,codex-usage-api,10737
CASE024,1e2397acbc216580669e7b402c478d2ab3eeb61c,ops-status-report,2761
CASE025,d827a58362747e2a504ecc2486a06b2848a6e0c1,writing-oprs,5408
CASE026,27f720a7eeecc7d8d375389636892b361f14e5a0,,8522
CASE027,c1afa1b898601dc2adc8c7907522bbcff7f26554,deploywatch,3430
CASE028,71b95660a09b535bc00292118956aa75827461b6,npm-set-2fa,1581
CASE029,27cae5ebaa8549e4409efcf6fded17fced9c8714,pancakeswap-v3-plugin,27967
