task,model,true_label,pred_label,count_summed_over_repeats
multiclass,A_tfidf_logreg,NONE,NONE,122
multiclass,A_tfidf_logreg,NONE,MENTION,1
multiclass,A_tfidf_logreg,NONE,SECONDARY,4
multiclass,A_tfidf_logreg,NONE,PRIMARY,3
multiclass,A_tfidf_logreg,MENTION,NONE,21
multiclass,A_tfidf_logreg,MENTION,MENTION,0
multiclass,A_tfidf_logreg,MENTION,SECONDARY,0
multiclass,A_tfidf_logreg,MENTION,PRIMARY,4
multiclass,A_tfidf_logreg,SECONDARY,NONE,33
multiclass,A_tfidf_logreg,SECONDARY,MENTION,0
multiclass,A_tfidf_logreg,SECONDARY,SECONDARY,0
multiclass,A_tfidf_logreg,SECONDARY,PRIMARY,2
multiclass,A_tfidf_logreg,PRIMARY,NONE,47
multiclass,A_tfidf_logreg,PRIMARY,MENTION,3
multiclass,A_tfidf_logreg,PRIMARY,SECONDARY,0
multiclass,A_tfidf_logreg,PRIMARY,PRIMARY,5
multiclass,B_tfidf_linearsvc,NONE,NONE,128
multiclass,B_tfidf_linearsvc,NONE,MENTION,0
multiclass,B_tfidf_linearsvc,NONE,SECONDARY,2
multiclass,B_tfidf_linearsvc,NONE,PRIMARY,0
multiclass,B_tfidf_linearsvc,MENTION,NONE,25
multiclass,B_tfidf_linearsvc,MENTION,MENTION,0
multiclass,B_tfidf_linearsvc,MENTION,SECONDARY,0
multiclass,B_tfidf_linearsvc,MENTION,PRIMARY,0
multiclass,B_tfidf_linearsvc,SECONDARY,NONE,35
multiclass,B_tfidf_linearsvc,SECONDARY,MENTION,0
multiclass,B_tfidf_linearsvc,SECONDARY,SECONDARY,0
multiclass,B_tfidf_linearsvc,SECONDARY,PRIMARY,0
multiclass,B_tfidf_linearsvc,PRIMARY,NONE,48
multiclass,B_tfidf_linearsvc,PRIMARY,MENTION,3
multiclass,B_tfidf_linearsvc,PRIMARY,SECONDARY,0
multiclass,B_tfidf_linearsvc,PRIMARY,PRIMARY,4
multiclass,C_embed_logreg,NONE,NONE,121
multiclass,C_embed_logreg,NONE,MENTION,2
multiclass,C_embed_logreg,NONE,SECONDARY,5
multiclass,C_embed_logreg,NONE,PRIMARY,2
multiclass,C_embed_logreg,MENTION,NONE,16
multiclass,C_embed_logreg,MENTION,MENTION,2
multiclass,C_embed_logreg,MENTION,SECONDARY,4
multiclass,C_embed_logreg,MENTION,PRIMARY,3
multiclass,C_embed_logreg,SECONDARY,NONE,27
multiclass,C_embed_logreg,SECONDARY,MENTION,0
multiclass,C_embed_logreg,SECONDARY,SECONDARY,3
multiclass,C_embed_logreg,SECONDARY,PRIMARY,5
multiclass,C_embed_logreg,PRIMARY,NONE,5
multiclass,C_embed_logreg,PRIMARY,MENTION,5
multiclass,C_embed_logreg,PRIMARY,SECONDARY,0
multiclass,C_embed_logreg,PRIMARY,PRIMARY,45
binary,A_tfidf_logreg,NON_SECURITY,NON_SECURITY,143
binary,A_tfidf_logreg,NON_SECURITY,SECURITY,12
binary,A_tfidf_logreg,SECURITY,NON_SECURITY,81
binary,A_tfidf_logreg,SECURITY,SECURITY,9
binary,B_tfidf_linearsvc,NON_SECURITY,NON_SECURITY,144
binary,B_tfidf_linearsvc,NON_SECURITY,SECURITY,11
binary,B_tfidf_linearsvc,SECURITY,NON_SECURITY,78
binary,B_tfidf_linearsvc,SECURITY,SECURITY,12
binary,C_embed_logreg,NON_SECURITY,NON_SECURITY,132
binary,C_embed_logreg,NON_SECURITY,SECURITY,23
binary,C_embed_logreg,SECURITY,NON_SECURITY,34
binary,C_embed_logreg,SECURITY,SECURITY,56
