case_id,name,body_chars,status_reason,security_relevance,security_focus,operational_security,operation_level,security_functions,security_concerns,operational_capability,evidence,confidence,rule_applied,grc_case,secondary_mention_boundary,possible_non_english_flag,note,annotation_seconds
LLM001,adobe-design-from-template,7087,DISCORDANT,,,,,,,,,,,,,,,
LLM003,autonomous-agents,2185,DISCORDANT,,,,,,,,,,,,,,,
LLM005,go-playwright-v2,13327,DISCORDANT,,,,,,,,,,,,,,,
LLM007,gemini-cli-runtime,2967,DISCORDANT,,,,,,,,,,,,,,,
LLM008,,2068,DISCORDANT,,,,,,,,,,,,,,,
LLM009,openclaw-1ly-payments,2411,DISCORDANT,,,,,,,,,,,,,,,
LLM011,zero-to-running,9022,DISCORDANT,,,,,,,,,,,,,,,
LLM012,rfc-lookup,1605,DISCORDANT,,,,,,,,,,,,,,,
LLM013,basementuniverse-tile-map,4606,DISCORDANT,,,,,,,,,,,,,,,
LLM014,clawville,4828,DISCORDANT,,,,,,,,,,,,,,,
LLM015,scientific-discovery-agents-2026,4270,DISCORDANT,,,,,,,,,,,,,,,
LLM017,resume,2503,DISCORDANT,,,,,,,,,,,,,,,
LLM019,,15744,DISCORDANT,,,,,,,,,,,,,,,
LLM020,port-project-codex,5183,DISCORDANT,,,,,,,,,,,,,,,
LLM021,,6377,DISCORDANT,,,,,,,,,,,,,,,
LLM022,literature-synthesis-analysis,6816,DISCORDANT,,,,,,,,,,,,,,,
LLM023,remember,6099,DISCORDANT,,,,,,,,,,,,,,,
LLM026,ics-monitoring-dragos,2720,DISCORDANT,,,,,,,,,,,,,,,
LLM027,deal-desk,10957,DISCORDANT,,,,,,,,,,,,,,,
LLM030,zoo-pause,960,DISCORDANT,,,,,,,,,,,,,,,
LLM033,remotion,13239,DISCORDANT,,,,,,,,,,,,,,,
LLM034,vue-expert,19360,DISCORDANT,,,,,,,,,,,,,,,
LLM035,excalidraw,23037,DISCORDANT,,,,,,,,,,,,,,,
LLM036,felt-construction,1919,DISCORDANT,,,,,,,,,,,,,,,
LLM037,build-moat-assets,6820,DISCORDANT,,,,,,,,,,,,,,,
LLM038,duroxide-orchestrations,14497,DISCORDANT,,,,,,,,,,,,,,,
LLM040,meta-ads-audit,4111,DISCORDANT,,,,,,,,,,,,,,,
LLM042,twitch-ai-chatbot,4319,DISCORDANT,,,,,,,,,,,,,,,
LLM043,algolia-autocomplete,16472,DISCORDANT,,,,,,,,,,,,,,,
LLM044,homelab-runbook,5950,DISCORDANT,,,,,,,,,,,,,,,
LLM047,lisa-github-validate-issue,20027,DISCORDANT,,,,,,,,,,,,,,,
LLM049,ce-riffrec-feedback-analysis,3463,DISCORDANT,,,,,,,,,,,,,,,
LLM050,foundation-models-on-device,8196,DISCORDANT,,,,,,,,,,,,,,,
